steamerid,firstname,lastname,DBteamId,IP,start_IP,relief_IP,start_percent,FBV,TBF,G,GS,W,L,SV,BB,K,HBP,ER,R,ERA,RA,H,HR,GB,FB,LD,K9,BB9,HR9,WHIP
sa600031,Frank,Del Valle,CHN,1,0,1,0,NULL,4,0.220047368421053,0.1659,0.0338,0.0361,0,0.4614,0.7931,0.0425,0.467,0.507,4.203,4.563,0.972,0.11,1.3713,1.0706,0.6264,7.1379,4.1526,0.99,1.4334
9877,Michael,Kirkman,TEX,1,0,1,0,93.1,4,1,0,0.0533,0.0467,0,0.4914,0.9234,0.0341,0.467,0.5036,4.203,4.5324,0.9482,0.12,1.1649,1.1414,0.6204,8.3106,4.4226,1.08,1.4396
7501,Tom,Layne,SDN,30,0,30,0,88.4,132,30,0,1.5984,1.4016,0,13.1085,23.3598,1.6868,14.016,15.2399,4.2048,4.57197,29.5805,2.99,43.3982,30.8795,18.4692,7.00794,3.93255,0.897,1.42296666666667
1938,Justin,Germano,TOR,1,0,1,0,86.7,4,0.21419298245614,0.1672,0.0337,0.036,0,0.1608,0.6474,0.0496,0.4672,0.5045,4.2048,4.5405,1.0983,0.14,1.4288,1.2406,0.692,5.8266,1.4472,1.26,1.2591
sa553075,Daniel,Johnson,ARI,1,0,1,0,NULL,4,1,0,0.0533,0.0467,0,0.3577,0.7167,0.0395,0.4673,0.5069,4.2057,4.5621,1.014,0.12,1.4268,1.1172,0.6478,6.4503,3.2193,1.08,1.3717
sa577669,Matt,Brazis,SEA,1,0,1,0,91.7,4,1,0,0.0533,0.0467,0,0.4017,0.7959,0.0416,0.4673,0.5051,4.2057,4.5459,0.9849,0.12,1.3035,1.1676,0.6184,7.1631,3.6153,1.08,1.3866
sa502700,Stephen,Kohlscheen,SEA,1,0,1,0,NULL,4,1,0,0.0533,0.0467,0,0.4334,0.8275,0.0314,0.4674,0.5052,4.2066,4.5468,0.9681,0.12,1.2827,1.149,0.6085,7.4475,3.9006,1.08,1.4015
4722,Jose,Arredondo,CIN,10,0,10,0,90.2,44,10,0,0.5326,0.4674,0,5.1475,9.1986,0.3647,4.674,5.0631,4.2066,4.55679,9.1448,1.16,12.7851,10.2454,5.8363,8.27874,4.63275,1.044,1.42923
sa326742,Cory,Vanallen,WAS,1,0,1,0,NULL,4,1,0,0.0533,0.0467,0,0.3922,0.7331,0.0356,0.4674,0.5073,4.2066,4.5657,1.0169,0.11,1.413,1.1018,0.6601,6.5979,3.5298,0.99,1.4091
4831,Clay,Rapada,CLE,1,0,1,0,84.6,4,1,0,0.0533,0.0467,0,0.373,0.7281,0.0335,0.4674,0.506,4.2066,4.554,1.0293,0.11,1.3565,1.1773,0.6647,6.5529,3.357,0.99,1.4023
sa458869,Brandon,Sisk,KCA,1,0,1,0,NULL,4,1,0,0.0532,0.0468,0,0.4118,0.6993,0.0356,0.4676,0.5066,4.2084,4.5594,1.0072,0.12,1.3433,1.2022,0.6589,6.2937,3.7062,1.08,1.419
6345,Chris,Archer,TBA,134.2656,134.2656,0,1,95,583,23.5553684211,23.5554,8.4003,8.6632,0,58.7412,113.4032,6.6585,62.7865,68.1313,4.20866178678679,4.56693077005577,125.5702,14.55,179.5585,140.2801,80.8355,7.60156585156585,3.9375,0.975305662805663,1.37273732065399
